episode,algo,reward
81,Fixed,1476.718243192718
82,Fixed,1480.9810712516946
83,Fixed,1484.2160394281652
84,Fixed,1484.6477724118258
85,Fixed,1477.566477361039
86,Fixed,1484.489656748481
87,Fixed,1480.337029634355
88,Fixed,1480.4861427173473
89,Fixed,1480.8748438825623
90,Fixed,1480.6284271611637
91,Fixed,1479.5093144783805
92,Fixed,1476.8170810096915
93,Fixed,1477.4799761704173
94,Fixed,1483.3005061473136
95,Fixed,1477.0524372000978
96,Fixed,1479.3010125560083
97,Fixed,1483.752997424279
98,Fixed,1481.199071458911
99,Fixed,1481.0627258993609
100,Fixed,1468.301065007615
101,Fixed,1475.7597478955608
102,Fixed,1478.3040665725657
103,Fixed,1476.4069366219333
104,Fixed,1471.120340501721
105,Fixed,1482.5611492001733
106,Fixed,1480.3447081785143
107,Fixed,1484.118631758782
108,Fixed,1473.4854296266092
109,Fixed,1480.325172024009
110,Fixed,1480.1304121872647
111,Fixed,1475.190871950741
112,Fixed,1476.112900397506
113,Fixed,1480.7310533700277
114,Fixed,1478.245455514259
115,Fixed,1486.6238746759207
116,Fixed,1478.5128526365077
117,Fixed,1484.4762452973184
118,Fixed,1483.9098948643875
119,Fixed,1481.3186931916746
120,Fixed,1481.7290891653488
121,Fixed,1479.4129016521367
122,Fixed,1484.6767569410213
123,Fixed,1477.9637404837667
124,Fixed,1479.2385025448516
125,Fixed,1477.3289749102494
126,Fixed,1483.8007223533928
127,Fixed,1478.5689184288788
128,Fixed,1482.329166156207
129,Fixed,1475.4786263060048
130,Fixed,1475.9279630536853
131,Fixed,1476.3050028123737
132,Fixed,1477.55861403284
133,Fixed,1479.9340571026537
134,Fixed,1475.7512215766628
135,Fixed,1479.0641115929648
136,Fixed,1485.2611506260916
137,Fixed,1476.3723646655615
138,Fixed,1488.304415128611
139,Fixed,1480.5883076897715
140,Fixed,1485.3427138192353
141,Fixed,1484.9134900216661
142,Fixed,1477.9902942178398
143,Fixed,1480.4114973041017
144,Fixed,1477.403123841001
145,Fixed,1481.2466159003473
146,Fixed,1478.5102237125093
147,Fixed,1479.1226336501759
148,Fixed,1476.8681175355478
149,Fixed,1482.1756320077843
150,Fixed,1480.8790351333705
151,Fixed,1482.1891398952166
152,Fixed,1478.5171600084889
153,Fixed,1475.7473775943254
154,Fixed,1477.417131868903
155,Fixed,1481.6063703011052
156,Fixed,1480.2062009055644
157,Fixed,1482.164369469645
158,Fixed,1478.5631277439124
159,Fixed,1480.657060265574
160,Fixed,1478.2613775617149
161,Fixed,1472.993041199185
162,Fixed,1473.558795244933
163,Fixed,1482.5384822521573
164,Fixed,1477.9507130756106
165,Fixed,1479.6900732283539
166,Fixed,1482.2663457881413
167,Fixed,1475.273910745018
168,Fixed,1476.760516631478
169,Fixed,1479.5296598507578
170,Fixed,1479.2973848568702
171,Fixed,1478.2813430780864
172,Fixed,1483.3387959312133
173,Fixed,1478.2139859876486
174,Fixed,1481.0719404775434
175,Fixed,1483.8086536449437
176,Fixed,1479.7560409191988
177,Fixed,1482.8233010219124
178,Fixed,1480.596034212873
179,Fixed,1480.5989763821854
180,Fixed,1481.6682881265629
181,Fixed,1481.8648470595297
182,Fixed,1480.8632586087797
183,Fixed,1476.0477156969364
184,Fixed,1477.5447380390592
